title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,adult,genre_names,rating_group
The Curse of La Llorona,en,2019-04-17,90.991,1998,5.7,9000000,122033739,93,FALSE,"Horror, Thriller",low
Wrong Turn,en,2003-05-30,90.04,2127,6.3,12600000,28650575,84,FALSE,"Horror, Thriller",high
Child's Play 3,en,1991-08-30,89.455,1234,5.9,13000000,20560255,90,FALSE,"Horror, Thriller",low
The Hunt,en,2020-03-11,88.978,2477,6.7,14000000,42415898,90,FALSE,"Action, Horror, Thriller",high
Annabelle Comes Home,en,2019-06-26,88.826,2870,6.4,30000000,231252591,106,FALSE,"Horror, Mystery, Thriller",high
Malignant,en,2021-09-01,88.071,1647,6.9,40000000,24640084,111,FALSE,"Horror, Mystery, Thriller",high
The Exorcism of Carmen Farias,es,2021-05-05,86.707,93,6.1,0,1474579,93,FALSE,Horror,high
The Texas Chainsaw Massacre,en,2003-05-21,86.118,2163,6.2,9500000,107363905,98,FALSE,Horror,high
Split,en,2016-11-15,85.707,15360,7.3,9000000,278454358,117,FALSE,"Horror, Thriller",high
Before I Wake,en,2016-04-07,84.773,1560,6.4,0,3295624,97,FALSE,"Drama, Fantasy, Horror, Thriller",high
Hereditary,en,2018-06-07,84.709,6057,7.3,10000000,80239658,128,FALSE,"Horror, Mystery, Thriller",high
Final Destination,en,2000-03-17,83.626,4585,6.6,23000000,112880294,98,FALSE,Horror,high
Curse of Chucky,en,2013-10-04,82.858,1280,5.9,5000000,3800000,97,FALSE,"Horror, Thriller",low
Child's Play,en,2019-06-19,82.168,1608,6,10000000,44902237,90,FALSE,Horror,low
Last Night in Soho,en,2021-10-21,81.785,2031,7.5,43000000,22957625,117,FALSE,"Fantasy, Horror, Mystery, Thriller",high
The Purge,en,2013-05-31,81.585,7386,6.3,3000000,89328627,86,FALSE,"Horror, Science Fiction, Thriller",high
Annabelle: Creation,en,2017-08-03,81.021,4859,6.6,15000000,306515884,110,FALSE,"Horror, Mystery, Thriller",high
The Orphanage,es,2007-05-20,76.355,2442,7.2,3400000,78638987,105,FALSE,"Drama, Horror, Thriller",high
Hansel & Gretel: Witch Hunters,en,2013-01-17,75.4,6015,6,50000000,226349749,88,FALSE,"Action, Fantasy, Horror",low
Umma,en,2022-03-18,74.957,162,5.6,0,2118582,83,FALSE,"Horror, Mystery",low
The Ring,en,2002-10-18,73.898,5208,6.6,48000000,249348933,115,FALSE,"Horror, Mystery",high
Final Destination 5,en,2011-08-12,73.733,2809,6.1,47000000,157887643,92,FALSE,"Horror, Mystery",high
Alien: Covenant,en,2017-05-09,73.672,7298,6.1,97000000,240891763,122,FALSE,"Horror, Mystery, Science Fiction",high
Insidious,en,2010-09-13,73.643,5689,6.9,1500000,97009150,103,FALSE,"Horror, Thriller",high
Aliens vs Predator: Requiem,en,2007-12-25,73.039,2334,5.1,40000000,130290885,94,FALSE,"Action, Fantasy, Horror, Science Fiction, Thriller",low
Paranormal Activity: The Marked Ones,en,2014-01-01,73.028,1235,5.4,5000000,86362372,84,FALSE,"Horror, Thriller",low
Goosebumps,en,2015-08-05,72.726,3302,6.3,58000000,158162788,103,FALSE,"Adventure, Comedy, Horror",high
Freddy vs. Jason,en,2003-08-15,72.488,2084,6,30000000,116643421,97,FALSE,Horror,low
Paranormal Activity,en,2007-09-14,71.944,4309,6,215000,194183034,85,FALSE,"Horror, Mystery",low
The Texas Chainsaw Massacre: The Beginning,en,2006-10-05,69.979,1445,6.1,16000000,107363905,91,FALSE,"Horror, Thriller",high
The Medium,th,2021-07-14,69.784,429,7,0,7230000,131,FALSE,"Horror, Thriller",high
The Witch,en,2015-01-27,69.655,5790,6.9,3500000,40423945,92,FALSE,"Drama, Fantasy, Horror, Mystery",high
[REC],es,2007-11-23,68.845,3576,7.2,1500000,32511655,78,FALSE,"Horror, Mystery",high
Get Out,en,2017-02-24,68.431,14721,7.6,4500000,255407969,104,FALSE,"Horror, Mystery, Thriller",high
The Ruins,en,2008-04-02,68.279,908,5.9,8000000,22818256,91,FALSE,Horror,low
Annabelle,en,2014-10-02,68.243,5341,5.7,6500000,257047661,99,FALSE,Horror,low
Halloween 4: The Return of Michael Myers,en,1988-10-21,68.198,1311,6.1,5000000,17800000,88,FALSE,"Horror, Thriller",high
Insidious: Chapter 2,en,2013-09-12,68.172,3528,6.7,5000000,161000000,106,FALSE,"Horror, Thriller",high
Scream,en,1996-12-20,67.783,5318,7.4,14000000,173046663,112,FALSE,"Crime, Horror, Mystery",high
The Human Centipede (First Sequence),en,2009-04-26,67.63,1772,5.2,2011799,252207,92,FALSE,Horror,low
Underworld: Awakening,en,2012-01-19,67.467,3573,6.3,70000000,160112671,88,FALSE,"Action, Fantasy, Horror",high
Final Destination 3,en,2006-02-09,67.459,3174,6.1,25000000,118890272,93,FALSE,"Horror, Mystery",high
Spiral: From the Book of Saw,en,2021-05-12,67.251,1362,6.1,20000000,40618920,93,FALSE,"Crime, Horror, Mystery",high
Scouts Guide to the Zombie Apocalypse,en,2015-10-23,66.029,1580,6.5,15000000,14860766,93,FALSE,"Comedy, Horror",high
Sinister,en,2012-03-29,65.319,4563,6.8,3000000,82515113,110,FALSE,"Horror, Mystery, Thriller",high
Zombieland,en,2009-10-07,65.001,10704,7.3,23600000,102391540,88,FALSE,"Comedy, Horror",high
Goosebumps 2: Haunted Halloween,en,2018-10-11,64.989,1234,6.1,35000000,93320380,90,FALSE,"Adventure, Comedy, Family, Fantasy, Horror",high
Final Destination 2,en,2003-01-31,64.18,3321,6.2,26000000,90941129,90,FALSE,"Horror, Mystery",high
Truth or Dare,en,2018-04-12,63.521,3562,6,3500000,95330493,101,FALSE,"Horror, Thriller",low
A Quiet Place,en,2018-04-03,63.493,12032,7.4,17000000,340677200,91,FALSE,"Drama, Horror, Science Fiction",high
The Shining,en,1980-05-23,63.472,14911,8.2,19000000,44781695,144,FALSE,"Horror, Thriller",high
Underworld: Blood Wars,en,2016-11-24,63.45,3221,5.8,35000000,81093313,91,FALSE,"Action, Fantasy, Horror, Thriller",low
Hellraiser,en,1987-09-11,63.431,1933,6.9,1000000,14575193,93,FALSE,"Fantasy, Horror",high
House of Wax,en,2005-04-30,63.255,2505,5.9,40000000,68766121,113,FALSE,"Horror, Thriller",low
The Autopsy of Jane Doe,en,2016-12-21,63.234,3423,6.7,0,5972942,86,FALSE,"Horror, Mystery",high
Peninsula,ko,2020-07-15,62.868,1971,6.8,17000000,39657073,116,FALSE,"Action, Horror, Thriller",high
The Hills Have Eyes,en,2006-03-10,62.574,2447,6.4,15000000,69623713,107,FALSE,"Horror, Thriller",high
Candyman,en,2021-08-25,62.465,1108,6.1,25000000,77389310,91,FALSE,"Horror, Mystery, Thriller",high
Freddy's Dead: The Final Nightmare,en,1991-09-05,61.784,1029,5.3,11000000,34900000,89,FALSE,"Horror, Thriller",low
Friday the 13th,en,2009-02-11,61.753,2106,5.8,19000000,91509154,97,FALSE,Horror,low
The Purge: Anarchy,en,2014-07-17,61.71,5695,6.7,9000000,111928365,104,FALSE,"Horror, Thriller",high
Alien,en,1979-05-25,60.982,12083,8.1,11000000,104931801,117,FALSE,"Horror, Science Fiction",high
Escape Room: Tournament of Champions,en,2021-07-01,60.72,1341,6.7,15000000,44888959,88,FALSE,"Horror, Mystery, Thriller",high
Jennifer's Body,en,2009-09-18,60.685,3104,5.8,16000000,31556061,107,FALSE,"Comedy, Horror",low
Saw II,en,2005-10-28,60.408,4357,6.6,4000000,147748505,89,FALSE,Horror,high
Megalodon,en,2018-08-10,60.183,223,5.7,130178,5303,90,FALSE,"Action, Horror, Science Fiction, TV Movie",low
Halloween II,en,2009-08-28,59.789,1120,5.4,10000000,39421467,105,FALSE,Horror,low
Drag Me to Hell,en,2009-03-15,59.708,3052,6.4,30000000,90810892,99,FALSE,"Horror, Thriller",high
Dead Silence,en,2007-03-16,59.495,1893,6.4,20000000,22217407,89,FALSE,Horror,high
Saw III,en,2006-10-27,59.343,3653,6.4,10000000,164874275,114,FALSE,"Crime, Horror, Thriller",high
Friday the 13th,en,1980-05-09,58.957,2289,6.4,550000,59754601,95,FALSE,Horror,high
Midsommar,en,2019-07-03,58.67,5237,7.1,9000000,47980982,147,FALSE,"Drama, Horror, Mystery",high
Zombieland: Double Tap,en,2019-10-09,58.248,4691,7,42000000,122801777,99,FALSE,"Comedy, Horror",high
Halloween 5: The Revenge of Michael Myers,en,1989-10-12,58.22,927,5.4,3000000,11642254,97,FALSE,"Horror, Thriller",low
Blade,en,1998-08-21,57.899,4965,6.7,45000000,131183530,121,FALSE,"Action, Horror",high
I Spit on Your Grave,en,2010-06-17,57.811,1836,6.5,2000000,572809,108,FALSE,"Crime, Horror, Thriller",high
The Texas Chain Saw Massacre,en,1974-10-01,57.809,2525,7.3,85000,30900000,83,FALSE,Horror,high
The Cabin in the Woods,en,2012-04-12,57.429,6741,6.6,30000000,71041255,95,FALSE,"Fantasy, Horror",high
Sator,en,2019-07-21,56.6,84,5.2,0,130023,85,FALSE,Horror,low
The Thing,en,1982-06-25,56.545,5566,8,15000000,19629760,109,FALSE,"Horror, Mystery, Science Fiction",high
Insidious: The Last Key,en,2018-01-03,56.103,2313,6.2,10000000,167184112,103,FALSE,"Horror, Mystery, Thriller",high
Shadow in the Cloud,en,2020-12-31,55.991,652,5.7,0,1025190,83,FALSE,"Action, Horror, War",low
Paranormal Activity 3,en,2011-10-19,55.508,1878,5.9,5000000,207039844,94,FALSE,"Horror, Mystery",low
Saw IV,en,2007-10-25,54.942,3038,6.2,10000000,139352633,96,FALSE,"Crime, Horror, Thriller",high
Goodnight Mommy,de,2014-10-07,54.063,1294,6.7,0,2193474,100,FALSE,"Drama, Horror, Mystery, Thriller",high
Annihilation,en,2018-02-22,53.42,7378,6.4,40000000,43070915,115,FALSE,"Horror, Science Fiction",high
The New Mutants,en,2020-08-26,53.323,2819,6.2,67000000,49169594,94,FALSE,"Action, Horror, Mystery, Science Fiction",high
The Hills Have Eyes 2,en,2007-03-22,53.301,1175,5.5,15000000,37697773,89,FALSE,"Horror, Thriller",low
28 Weeks Later,en,2007-04-26,53.104,3514,6.6,15000000,65048678,100,FALSE,"Horror, Science Fiction, Thriller",high
Don't Breathe,en,2016-06-08,53.069,6387,7,9900000,159047649,89,FALSE,"Horror, Thriller",high
The Final Destination,en,2009-08-26,53.023,2670,5.6,40000000,186167139,82,FALSE,"Horror, Mystery",low
Knock Knock,en,2015-06-26,52.877,2621,5.3,2500000,6341684,99,FALSE,"Drama, Horror, Thriller",low
The Exorcism of Emily Rose,en,2005-09-09,52.675,2333,6.5,19000000,145166804,122,FALSE,"Crime, Drama, Horror, Thriller",high
Willy's Wonderland,en,2021-02-12,52.535,603,6.1,5000000,431020,88,FALSE,"Action, Comedy, Horror",high
Werewolves Within,en,2021-06-25,52.511,345,6.1,6500000,250811,97,FALSE,"Comedy, Horror",high
Halloween: The Curse of Michael Myers,en,1995-09-29,52.474,840,5.2,5000000,15116634,88,FALSE,"Horror, Thriller",low
Thir13en Ghosts,en,2001-10-26,52.197,1695,6.2,42000000,68467960,91,FALSE,"Horror, Thriller",high
[REC]⁴ Apocalypse,es,2014-10-31,51.876,935,5.5,3000000,4915757,95,FALSE,"Horror, Thriller",low
Jaws,en,1975-06-20,51.381,8659,7.6,7000000,470653000,124,FALSE,"Adventure, Horror, Thriller",high
Scream 2,en,1997-12-12,51.026,3103,6.4,24000000,172363301,120,FALSE,"Horror, Mystery",high
AVP: Alien vs. Predator,en,2004-08-12,50.996,3654,5.9,70000000,177427090,101,FALSE,"Action, Adventure, Horror, Science Fiction",low
#Alive,ko,2020-06-24,50.907,1365,7.3,6300000,13416285,98,FALSE,"Action, Horror, Thriller",high
Hostel,en,2005-09-17,50.839,3023,5.9,4800000,81979826,94,FALSE,Horror,low
Sleepy Hollow,en,1999-11-19,50.681,5700,7.2,100000000,206071502,105,FALSE,"Drama, Fantasy, Horror, Mystery, Thriller",high
Piranha 3D,en,2010-08-20,50.603,1829,5.4,24000000,83188165,88,FALSE,"Comedy, Horror",low
Van Helsing,en,2004-05-05,50.495,4987,6.3,160000000,300257475,132,FALSE,"Action, Adventure, Horror",high
Stan Helsing,en,2009-10-27,50.368,386,4.2,365000,1400000,90,FALSE,"Comedy, Horror",low
Paranormal Activity: Tokyo Night,ja,2010-11-20,50.297,360,6,1350000,4160000,91,FALSE,"Horror, Thriller",low
It Follows,en,2014-09-24,50.294,5456,6.6,2000000,14674076,101,FALSE,"Horror, Mystery",high
Halloween II,en,1981-10-30,50.085,1591,6.5,2500000,25533818,92,FALSE,"Horror, Thriller",high
Evil Dead,en,2013-04-05,49.982,3758,6.5,17000000,97542952,96,FALSE,Horror,high
Hostel: Part II,en,2007-06-08,49.793,1645,5.8,10200000,35728183,93,FALSE,Horror,low
I Spit on Your Grave 2,en,2013-08-25,49.755,1043,6.3,0,678604,106,FALSE,"Crime, Horror, Thriller",high
Crawl,en,2019-07-11,49.607,2608,6.3,13500000,89203432,88,FALSE,"Action, Horror, Thriller",high
28 Days Later,en,2002-10-31,49.268,5557,7.2,5000000,85720385,113,FALSE,"Horror, Science Fiction, Thriller",high
Ghost Ship,en,2002-10-25,49.195,1978,5.9,35000000,68349884,91,FALSE,"Horror, Mystery, Thriller",low
Friday the 13th: The Final Chapter,en,1984-04-13,48.887,1013,6.1,2600000,32980880,91,FALSE,Horror,high
Insidious: Chapter 3,en,2015-05-28,48.653,2833,6.3,10000000,104303851,97,FALSE,"Drama, Horror, Thriller",high
Bodies Bodies Bodies,en,2022-08-05,47.932,156,6.4,0,10000000,94,FALSE,"Comedy, Horror, Mystery",high
Halloween: Resurrection,en,2002-07-01,47.79,1000,4.7,13000000,37664855,89,FALSE,"Horror, Thriller",low
The Ring Two,en,2005-03-17,47.482,1935,5.7,50000000,161451538,110,FALSE,"Drama, Horror, Thriller",low
The Dinosaur Project,en,2012-08-09,47.421,236,5.6,0,2412576,83,FALSE,"Action, Adventure, Horror",low
Saw 3D,en,2010-10-21,47.018,2425,6,20000000,136151680,90,FALSE,"Crime, Horror",low
Shaun of the Dead,en,2004-04-09,46.937,7139,7.5,6100000,30097092,99,FALSE,"Comedy, Horror",high
Carrie,en,1976-11-03,46.915,3055,7.3,1800000,33800000,98,FALSE,"Horror, Thriller",high
The Ritual,en,2017-10-11,46.777,2397,6.2,1000000,1786396,94,FALSE,"Horror, Mystery, Thriller",high
Vivarium,en,2019-09-07,46.777,1466,6,4000000,427399,97,FALSE,"Horror, Mystery, Science Fiction",low
The Blair Witch Project,en,1999-07-14,46.286,3901,6.3,60000,248639099,81,FALSE,"Horror, Mystery",high
Watcher,en,2022-06-03,46.144,232,6.3,0,2667033,96,FALSE,"Horror, Thriller",high
"Salò, or the 120 Days of Sodom",it,1976-01-10,46.125,1541,6.5,0,22017,117,FALSE,"Drama, Horror",high
The Evil Dead,en,1981-09-10,46.079,3093,7.3,350000,29400000,85,FALSE,Horror,high
Friday the 13th Part 2,en,1981-05-01,45.906,1281,6.1,1250000,21722776,87,FALSE,"Horror, Thriller",high
A Nightmare on Elm Street,en,2010-04-30,45.628,2292,5.5,35000000,115664037,95,FALSE,"Horror, Mystery, Thriller",low
Bram Stoker's Dracula,en,1992-11-13,45.348,4172,7.4,40000000,215862692,128,FALSE,"Horror, Romance",high
Ouija,en,2014-10-24,45.058,2393,5.2,5000000,103590271,89,FALSE,Horror,low
The Grudge,en,2004-10-22,44.825,2486,5.9,10000000,183474602,92,FALSE,"Horror, Mystery, Thriller",low
[REC]³ Genesis,es,2012-03-30,44.643,1221,5.2,6400000,11019975,80,FALSE,Horror,low
Saw V,en,2008-10-23,44.561,2815,6.2,10800000,113864059,95,FALSE,"Crime, Horror, Thriller",high
A Nightmare on Elm Street,en,1984-11-09,44.489,4150,7.3,1800000,25685134,91,FALSE,Horror,high
Fright Night,en,1985-08-02,44.473,1059,7,9000000,24922237,106,FALSE,"Comedy, Horror",high
"As Above, So Below",en,2014-08-14,44.415,2774,6.7,5000000,40100000,93,FALSE,"Horror, Thriller",high
Night of the Living Dead,en,1990-10-19,43.971,686,6.8,4200000,5835247,88,FALSE,"Horror, Thriller",high
Scary Stories to Tell in the Dark,en,2019-08-08,43.866,2208,6.5,25000000,95438172,108,FALSE,"Horror, Thriller",high
The Wolf of Snow Hollow,en,2020-10-23,43.833,265,6.2,2000000,239828,84,FALSE,"Horror, Thriller",high
Pet Sematary,en,1989-04-21,43.608,1748,6.6,11500000,57469467,103,FALSE,"Drama, Horror",high
Interview with the Vampire,en,1994-11-11,42.674,4852,7.4,60000000,223664608,123,FALSE,"Drama, Fantasy, Horror",high
Saw VI,en,2009-10-16,42.6,2559,6.3,11000000,68234154,96,FALSE,"Horror, Mystery",high
The Owners,en,2020-08-27,42.352,266,5.7,0,225374,92,FALSE,"Horror, Thriller",low
Scream 4,en,2011-04-11,42.342,2801,6.4,40000000,97231420,111,FALSE,"Horror, Mystery",high
Cursed,en,2005-02-25,42.103,577,5.4,35000000,19294901,97,FALSE,"Comedy, Horror",low
Psycho,en,1960-06-22,42.064,8452,8.4,806947,50000000,109,FALSE,"Drama, Horror, Thriller",high
Dawn of the Dead,en,2004-03-19,41.981,3254,7,26000000,102278712,101,FALSE,"Action, Horror",high
An American Werewolf in London,en,1981-08-21,41.806,1887,7.4,10000000,31973249,97,FALSE,"Comedy, Horror",high
The Other Side of the Door,en,2016-02-25,41.736,720,5.5,0,14332467,96,FALSE,"Horror, Thriller",low
Us,en,2019-03-14,41.601,6169,7,20000000,255105930,116,FALSE,"Horror, Mystery, Thriller",high
Brightburn,en,2019-05-09,41.383,2566,6.1,6000000,32893421,91,FALSE,"Horror, Science Fiction, Thriller",high
The Rental,en,2020-07-23,41.323,677,5.6,0,4296804,88,FALSE,Horror,low
Army of Darkness,en,1992-10-31,41.242,2495,7.3,11000000,21502976,81,FALSE,"Comedy, Fantasy, Horror",high
Martyrs,fr,2008-09-03,41.212,2142,7.4,6500000,1100000,99,FALSE,"Drama, Horror, Thriller",high
Halloween H20: 20 Years Later,en,1998-08-05,41.178,1302,6,17000000,75000000,86,FALSE,"Horror, Thriller",low
P2,en,2007-11-09,41.167,671,6.1,3500000,7766240,98,FALSE,"Horror, Thriller",high
The Mortuary Collection,en,2020-10-08,40.917,324,6.8,0,34265,108,FALSE,"Fantasy, Horror",high
Sputnik,ru,2020-09-08,40.799,536,6.5,0,354023,113,FALSE,"Drama, Horror, Science Fiction",high
The Descent,en,2005-07-08,40.383,3123,6.9,3500000,57130027,99,FALSE,"Adventure, Horror",high
Resident Evil: Damnation,en,2012-09-25,40.315,671,6.8,0,2325035,100,FALSE,"Action, Animation, Horror",high
Anaconda,en,1997-04-11,40.311,2075,5.1,45000000,136885767,89,FALSE,"Adventure, Horror, Thriller",low
Leprechaun,en,1993-01-08,40.194,600,5.6,900000,8556940,91,FALSE,"Comedy, Horror",low
Poltergeist,en,1982-06-04,40.123,2416,7.1,10700000,122200000,114,FALSE,Horror,high
Tremors,en,1990-01-19,40.012,2640,6.8,11000000,48572000,96,FALSE,"Action, Comedy, Horror, Science Fiction",high
The Amityville Horror,en,2005-04-14,39.997,1862,6.1,19000000,108047131,90,FALSE,Horror,high
Mama,en,2013-01-17,39.883,3667,6.2,15000000,146497771,100,FALSE,Horror,high
Blade: Trinity,en,2004-12-08,39.805,3275,5.9,65000000,128905366,123,FALSE,"Action, Fantasy, Horror",low
Leprechaun 2,en,1994-04-07,39.55,242,5.6,2000000,2260622,85,FALSE,"Comedy, Horror",low
Antebellum,en,2020-09-02,39.517,744,6.3,15000000,7060384,105,FALSE,Horror,high
Wish Upon,en,2017-07-07,39.467,1144,5.6,12000000,14301505,90,FALSE,"Fantasy, Horror, Thriller",low
Blade II,en,2002-03-22,39.411,3963,6.5,54000000,155010032,117,FALSE,"Action, Fantasy, Horror, Thriller",high
Jigsaw,en,2017-10-26,39.398,3044,6.2,10000000,102952888,92,FALSE,"Crime, Horror, Mystery, Thriller",high
The Boy,en,2016-01-22,38.999,3346,5.9,10000000,64188367,97,FALSE,"Horror, Mystery, Thriller",low
Ready or Not,en,2019-08-21,38.925,3383,7.1,6000000,57615777,95,FALSE,"Comedy, Horror, Thriller",high
Event Horizon,en,1997-08-15,38.807,2212,6.5,60000000,26673242,96,FALSE,"Horror, Mystery, Science Fiction",high
The Return of the Living Dead,en,1985-04-25,38.791,1491,7.2,4000000,14237880,91,FALSE,"Comedy, Horror",high
Psycho Goreman,en,2020-10-29,38.776,245,6,1700000,95384,95,FALSE,"Comedy, Horror, Science Fiction",low
The Strangers: Prey at Night,en,2018-03-07,38.516,1127,5.6,12500000,31039126,85,FALSE,"Horror, Thriller",low
Jessabelle,en,2014-11-07,38.493,688,5.4,1000000,23456897,90,FALSE,"Horror, Thriller",low
Rings,en,2017-02-01,38.303,2270,5,25000000,83080890,102,FALSE,Horror,low
Halloween III: Season of the Witch,en,1982-10-22,38.146,1054,5.1,2500000,14400000,98,FALSE,"Horror, Science Fiction, Thriller",low
A Nightmare on Elm Street Part 2: Freddy's Revenge,en,1985-11-01,38.067,1460,5.8,3000000,30000000,87,FALSE,Horror,low
The Last House on the Left,en,2009-03-13,38.056,1421,6.4,15000000,32721635,110,FALSE,"Crime, Drama, Horror, Thriller",high
Species,en,1995-07-07,38.051,1294,5.9,35000000,113374103,108,FALSE,"Action, Horror, Science Fiction",low
The Descent: Part 2,en,2009-10-14,38.029,872,5.9,6000200,7048886,94,FALSE,"Adventure, Horror, Thriller",low
Hellbound: Hellraiser II,en,1988-12-23,37.92,843,6.4,3000000,12090735,97,FALSE,Horror,high
Jason Goes to Hell: The Final Friday,en,1993-08-13,37.912,743,4.5,3000000,15938065,87,FALSE,Horror,low
The Exorcist III,en,1990-08-17,37.903,541,6.2,9300000,39024251,110,FALSE,"Horror, Mystery",high
Ghosts of War,en,2020-07-03,37.83,407,6.3,0,178592,94,FALSE,"Fantasy, Horror, Thriller, War",high
Ouija: Origin of Evil,en,2016-10-20,37.821,2127,6.1,9000000,81705746,99,FALSE,"Drama, Horror, Mystery",high
The Invisible Man,en,2020-02-26,37.802,4778,7.1,7000000,130234661,124,FALSE,"Horror, Science Fiction, Thriller",high
The Mummy,en,2017-06-06,37.742,6346,5.5,125000000,409231607,110,FALSE,"Action, Adventure, Fantasy, Horror, Thriller",low
Friday the 13th Part VI: Jason Lives,en,1986-08-01,37.545,899,6.2,3000000,19472057,87,FALSE,"Horror, Mystery, Thriller",high
Scream 3,en,2000-02-03,37.529,2664,5.9,40000000,161834276,116,FALSE,"Horror, Mystery",low
The Unborn,en,2009-01-09,37.529,1185,5.2,16000000,76514050,87,FALSE,"Horror, Mystery, Thriller",low
A Nightmare on Elm Street 4: The Dream Master,en,1988-08-19,37.502,1095,5.8,13000000,49400000,94,FALSE,"Horror, Thriller",low
Carrie,en,2013-10-16,37.493,3919,6,30000000,82394288,100,FALSE,"Drama, Horror",low
Bordello of Blood,en,1996-08-16,37.441,295,5.9,15000000,5600000,87,FALSE,"Comedy, Horror",low
Cracked,th,2022-02-24,37.267,11,6.4,3000000,6000000,93,FALSE,"Horror, Thriller",high
The Empty Man,en,2020-10-22,37.25,493,6.2,16000000,4176641,137,FALSE,"Horror, Mystery, Thriller",high
Clown,en,2014-11-13,37.203,1143,5.7,0,4381603,100,FALSE,Horror,low
[REC]²,es,2009-09-15,37.108,1652,6.6,5600000,18469680,85,FALSE,"Horror, Thriller",high
Wolf Creek 2,en,2013-08-30,36.644,485,6.3,8000000,9630444,106,FALSE,"Horror, Thriller",high
Escape Room,en,2019-01-03,36.573,3924,6.5,9000000,155712077,100,FALSE,"Horror, Mystery, Thriller",high
Jason X,en,2001-07-24,36.342,1069,4.8,11000000,16951798,91,FALSE,"Horror, Science Fiction",low
Friday the 13th Part VIII: Jason Takes Manhattan,en,1989-07-28,36.337,793,5,5000000,14000000,100,FALSE,"Horror, Thriller",low
Silent Hill: Revelation 3D,en,2012-10-10,36.244,1336,5.5,20000000,52302796,94,FALSE,"Horror, Mystery, Thriller",low
The Green Inferno,en,2013-09-08,36.108,1153,5.7,5000000,12666449,100,FALSE,"Adventure, Horror, Thriller",low
Piranha,en,1978-08-03,35.829,496,5.9,660000,16000000,94,FALSE,"Comedy, Horror",low
Primeval,en,2007-01-12,35.757,292,6.1,0,10597734,93,FALSE,"Adventure, Horror",high
Poltergeist,en,2015-05-20,35.679,2031,5.2,35000000,95437994,93,FALSE,Horror,low
Underwater,en,2020-01-08,35.67,2537,6.3,50000000,40882928,95,FALSE,"Action, Horror, Science Fiction",high
Silent Hill,en,2006-04-21,35.639,3519,6.5,50000000,100605135,125,FALSE,"Horror, Mystery",high
Lights Out,en,2016-07-21,35.639,3384,6.3,4900000,148868835,81,FALSE,"Horror, Mystery, Thriller",high
Happy Death Day,en,2017-10-12,35.43,5369,6.6,4800000,125479266,97,FALSE,"Comedy, Horror, Mystery",high
Friday the 13th Part III,en,1982-08-13,35.313,1062,5.8,4000000,36690067,95,FALSE,Horror,low
Crimes of the Future,en,2022-05-25,35.226,480,6.4,0,4400000,108,FALSE,"Drama, Horror, Science Fiction",high
The Craft,en,1996-05-03,35.18,1497,6.7,15000000,24819936,101,FALSE,"Drama, Fantasy, Horror",high
The Devil's Advocate,en,1997-10-17,35.073,4887,7.4,57000000,152944660,144,FALSE,"Drama, Horror, Mystery, Thriller",high
Suspiria,it,1977-02-01,34.891,2367,7.5,0,2884265,99,FALSE,Horror,high
Children of the Corn,en,1984-03-09,34.686,796,5.7,800000,14568989,92,FALSE,"Horror, Thriller",low
Overlord,en,2018-11-01,34.624,2406,6.7,38000000,41657844,110,FALSE,"Horror, Science Fiction, War",high
The Mist,en,2007-11-21,34.23,4147,6.9,18000000,57470220,126,FALSE,"Horror, Science Fiction, Thriller",high
Shin Godzilla,ja,2016-07-29,34.129,866,7.1,15000000,77947607,120,FALSE,"Action, Horror, Science Fiction",high
I Know What You Did Last Summer,en,1997-10-17,34.017,2272,5.9,17000000,125586134,101,FALSE,"Horror, Mystery, Thriller",low
The Babadook,en,2014-05-22,33.958,5251,6.5,2000000,10312540,94,FALSE,"Drama, Horror",high
Hatching,fi,2022-03-04,33.905,142,6.4,3896000,490000,91,FALSE,"Fantasy, Horror",high
Death of Me,en,2020-10-02,33.787,202,5,0,41848,95,FALSE,"Horror, Mystery",low
Evil Dead II,en,1987-03-13,33.777,2428,7.6,3500000,10900000,84,FALSE,"Comedy, Fantasy, Horror",high
Don't Listen,es,2020-07-24,33.664,612,6.5,0,443458,98,FALSE,"Drama, Horror, Thriller",high
Possession,fr,1981-05-27,33.538,737,7.4,0,1158473,124,FALSE,Horror,high
Leatherface: The Texas Chainsaw Massacre III,en,1990-01-12,33.339,396,5.3,2000000,5765562,85,FALSE,Horror,low
The Texas Chainsaw Massacre 2,en,1986-08-22,33.29,647,5.6,4500000,8025872,101,FALSE,"Comedy, Horror",low
Freaky,en,2020-11-12,33.205,1140,6.6,5000000,15104310,102,FALSE,"Comedy, Fantasy, Horror, Thriller",high
Gonjiam: Haunted Asylum,ko,2018-03-28,33.149,420,7.3,0,21041950,94,FALSE,"Horror, Mystery",high
Warm Bodies,en,2013-01-31,33.127,5495,6.4,35000000,116980662,97,FALSE,"Comedy, Horror, Romance",high
Exorcist II: The Heretic,en,1977-06-17,32.967,540,4.5,14000000,30749142,118,FALSE,"Drama, Horror, Thriller",low
Pet Sematary,en,2019-04-04,32.935,2765,5.7,21000000,112399944,101,FALSE,"Horror, Thriller",low
Priest,en,2011-05-05,32.691,1923,5.7,60000000,78309131,87,FALSE,"Action, Horror, Thriller",low
Countdown,en,2019-10-24,32.432,1680,6.4,6500000,48021766,90,FALSE,"Horror, Thriller",high
