title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,adult,genre_names,rating_group
Night of the Living Dorks,de,2004-11-03,4.171,65,5.4,4410000,2107861,90,FALSE,"Comedy, Horror",low
Revelation,en,2001-04-12,4.168,20,4.9,0,10000000,111,FALSE,"Fantasy, Horror, Science Fiction",low
The Legend of Boggy Creek,en,1972-08-01,4.14,48,5,160000,22000000,87,FALSE,"Drama, Horror, Mystery",low
Eegah,en,1962-06-08,4.126,47,2.7,15000,3274,90,FALSE,Horror,low
23:59,zh,2011-11-03,4.104,39,4.7,600000,1208479,78,FALSE,Horror,low
Repentance,en,2014-02-28,4.088,52,5,5000000,1189612,90,FALSE,"Horror, Thriller",low
Maléfique,fr,2003-05-07,4.063,78,5.9,1500000,398016,90,FALSE,"Fantasy, Horror, Mystery",low
Satan's Blood,es,1978-08-12,4.057,28,6.2,175000,594947,82,FALSE,"Horror, Thriller",high
Treehouse,en,2014-10-20,4.035,61,4.2,3250000,3250000,96,FALSE,"Horror, Mystery, Thriller",low
"Count Yorga, Vampire",en,1970-06-10,4.009,38,5.6,64000,7000000,93,FALSE,Horror,low
"Otto; or, Up with Dead People",en,2008-01-19,3.975,41,5.6,0,11295,94,FALSE,"Comedy, Drama, Horror",low
The Mother of Tears,it,2007-09-06,3.958,354,4.5,3500000,3119957,102,FALSE,Horror,low
The Unholy,en,1988-04-22,3.897,40,5.4,0,6337299,102,FALSE,Horror,low
Night of the Living Dead 3D,en,2006-11-10,3.892,41,4.1,3000000,1449945,80,FALSE,Horror,low
House of Good and Evil,en,2013-04-26,3.882,35,4.5,150000,560000,108,FALSE,"Horror, Thriller",low
The Afflicted,en,2011-10-22,3.781,26,5.2,180000,175742,85,FALSE,"Horror, Thriller",low
Mercy Black,en,2022-01-21,3.77,14,4.9,0,200046,87,FALSE,"Horror, Mystery, Thriller",low
The Feast,cy,2021-11-19,3.729,27,5.7,0,8316,93,FALSE,"Horror, Thriller",low
Voices,ko,2007-08-22,3.728,34,5.6,0,1820534,85,FALSE,"Crime, Drama, Horror, Thriller",low
Beware! The Blob,en,1972-06-21,3.701,49,4.9,150000,102433,87,FALSE,"Comedy, Horror, Science Fiction",low
I Was a Teenage Frankenstein,en,1957-11-23,3.664,17,5.2,0,310000,74,FALSE,"Horror, Science Fiction",low
Side Effect,ru,2020-11-05,3.651,64,6.2,0,1500000,93,FALSE,Horror,high
The Face of Fu Manchu,en,1965-08-06,3.623,29,6.1,0,1300000,96,FALSE,"Crime, Horror, Thriller",high
Go Goa Gone,hi,2013-05-10,3.602,82,5.7,2700000,5400000,111,FALSE,"Comedy, Horror",low
Queen of Spades: The Dark Rite,ru,2015-09-10,3.595,57,5.3,1000000,2228115,94,FALSE,Horror,low
Ezra,ml,2017-02-10,3.586,29,5.9,1500000,7800000,147,FALSE,"Horror, Thriller",low
Witchboard 2: The Devil's Doorway,en,1993-07-28,3.54,33,5.1,0,168180,98,FALSE,"Horror, Mystery",low
Vlad,en,2003-05-16,3.499,18,4.1,0,41176,98,FALSE,"Fantasy, Horror, Thriller",low
Honeydew,en,2021-03-12,3.441,33,4.9,0,32890,106,FALSE,Horror,low
Raaz: The Mystery Continues...,hi,2009-01-23,3.439,30,5.8,6250000,8000000,137,FALSE,"Horror, Mystery",low
