"title","original_language","release_date","popularity","vote_count","vote_average","budget","revenue","runtime","adult","genre_names","high_rating"
"The Passenger","es",2022-06-03,220.766,25,6.4,0,0,90,FALSE,"Horror",TRUE
"WarHunt","en",2022-01-21,215.537,60,5.1,0,0,93,FALSE,"Action, Fantasy, Horror, Thriller, War",FALSE
"Goodnight Mommy","en",2022-09-16,198.775,159,6.2,0,0,91,FALSE,"Drama, Horror, Thriller",TRUE
"Virus:32","es",2022-04-21,198.632,155,7.2,0,0,90,FALSE,"Horror",TRUE
"The Forever Purge","en",2021-06-30,198.269,1904,7.2,1.8e+07,76994245,103,FALSE,"Action, Horror, Thriller",TRUE
"Don't Breathe 2","en",2021-08-12,196.003,1847,7.3,1e+07,4.5e+07,98,FALSE,"Horror, Thriller",TRUE
"Jeepers Creepers","en",2001-07-01,195.983,2395,6.4,1e+07,59217789,90,FALSE,"Horror, Thriller",TRUE
"Roald Dahl's The Witches","en",2020-10-25,192.006,2331,6.4,0,26900000,106,FALSE,"Adventure, Comedy, Family, Fantasy, Horror",TRUE
"Ripper Untold","en",2021-06-28,187.478,107,6.2,0,0,85,FALSE,"Horror",TRUE
"V for Vengeance","en",2022-06-07,185.965,49,6.8,0,0,85,FALSE,"Action, Horror",TRUE
"The Conjuring","en",2013-07-18,173.527,9735,7.5,1.3e+07,319494638,112,FALSE,"Horror, Thriller",TRUE
"Jeepers Creepers 2","en",2003-08-08,169.063,1287,6.1,1.7e+07,63102666,104,FALSE,"Horror",TRUE
"Dark Cloud","en",2022-05-09,167.344,60,6.6,0,0,81,FALSE,"Horror, Science Fiction, Thriller",TRUE
"Queen of Spades","en",2021-06-11,164.687,66,6.6,0,0,91,FALSE,"Horror",TRUE
"The Hunting","en",2022-01-21,163.448,28,4.9,0,0,91,FALSE,"Horror",FALSE
"Bull Shark","en",2022-02-05,161.874,52,5.5,0,0,80,FALSE,"Horror, Thriller",TRUE
"Halloween","en",2018-10-18,158.374,3974,6.5,1e+07,253688035,106,FALSE,"Horror, Thriller",TRUE
"Paranormal Activity: Next of Kin","en",2021-10-29,149.767,426,6.4,0,0,98,FALSE,"Horror, Mystery, Thriller",TRUE
"Old","en",2021-07-21,148.823,3080,6.5,1.8e+07,90112510,108,FALSE,"Horror, Mystery, Thriller",TRUE
"Black Water: Abyss","en",2020-07-09,147.567,351,5.1,0,0,98,FALSE,"Adventure, Horror, Mystery, Thriller",FALSE
"The House","en",2022-01-14,145.57,740,7,0,0,97,FALSE,"Animation, Comedy, Drama, Fantasy, Horror",TRUE
"The Haunting of Helena","en",2013-01-14,142.934,129,5.5,0,0,87,FALSE,"Horror, Thriller",TRUE
"Naruto Shippuden the Movie: Blood Prison","ja",2011-07-30,142.096,404,7.2,0,0,108,FALSE,"Action, Animation, Comedy, Horror, Mystery, Thriller",TRUE
"Wrong Turn 3: Left for Dead","en",2009-10-20,138.012,904,5.6,3e+06,0,91,FALSE,"Horror, Thriller",TRUE
"The Conjuring 2","en",2016-06-08,137.18,7061,7.3,4e+07,320392818,134,FALSE,"Horror, Thriller",TRUE
"World War Z","en",2013-06-20,131.399,13440,6.8,2e+08,531865000,116,FALSE,"Action, Drama, Horror, Science Fiction, Thriller",TRUE
"The Nun","en",2018-09-05,131.032,5393,5.8,2.2e+07,365550119,96,FALSE,"Horror, Mystery, Thriller",TRUE
"Two","es",2021-07-23,127.062,266,5.4,0,0,71,FALSE,"Horror, Thriller",TRUE
"A Haunted House 2","en",2014-04-17,125.807,1126,6,4e+06,25343661,87,FALSE,"Comedy, Horror",TRUE
"Wrong Turn 4: Bloody Beginnings","en",2011-10-17,125.455,857,5.7,3e+06,0,93,FALSE,"Horror, Thriller",TRUE
"Wrong Turn 2: Dead End","en",2007-08-25,123.581,1084,6,4e+06,0,96,FALSE,"Horror, Thriller",TRUE
"Constantine","en",2005-02-08,119.677,5863,7,1e+08,230884728,121,FALSE,"Action, Fantasy, Horror",TRUE
"Antlers","en",2021-10-28,119.584,782,6.3,0,18312201,99,FALSE,"Drama, Horror, Mystery",TRUE
"Wrong Turn","en",2021-01-26,119.017,804,6,0,3777969,110,FALSE,"Horror, Thriller",TRUE
"Hidden","en",2015-09-15,117.32,712,6.8,0,0,83,FALSE,"Horror, Thriller",TRUE
"The Meg","en",2018-08-09,116.512,6068,6.2,1.5e+08,530243742,113,FALSE,"Action, Horror, Science Fiction",TRUE
"Cult of Chucky","en",2017-10-23,116.318,959,5.8,6500000,2200000,91,FALSE,"Horror, Thriller",TRUE
"The Addams Family","en",2019-10-10,116.021,1851,6.6,4e+07,203044905,86,FALSE,"Animation, Comedy, Family, Fantasy, Horror",TRUE
"The Deep House","en",2021-06-30,115.268,717,6.3,0,0,81,FALSE,"Horror",TRUE
"Wrong Turn 5: Bloodlines","en",2012-10-23,112.707,750,5.4,3e+06,0,91,FALSE,"Horror, Thriller",TRUE
"Meander","fr",2021-05-26,112.295,284,6,0,7e+05,91,FALSE,"Drama, Horror, Science Fiction, Thriller",TRUE
"Fear Street: 1994","en",2021-06-28,111.397,1708,6.8,0,0,107,FALSE,"Fantasy, Horror, Mystery",TRUE
"Demonic","en",2021-07-29,110.83,153,4.9,0,0,104,FALSE,"Drama, Horror, Science Fiction",FALSE
"Child's Play","en",1988-11-09,108.342,2335,6.6,9e+06,44196684,87,FALSE,"Horror",TRUE
"A Haunted House","en",2013-01-11,108.186,1499,5.8,2500000,60141683,86,FALSE,"Comedy, Horror",TRUE
"The First Purge","en",2018-07-04,108.11,3413,6,1.3e+07,137056262,97,FALSE,"Action, Horror, Thriller",TRUE
"The Remaining","en",2014-08-25,106.016,285,5.7,0,1169603,88,FALSE,"Horror, Thriller",TRUE
"Fear Street: 1978","en",2021-07-08,105.156,1406,7.3,0,0,110,FALSE,"Fantasy, Horror, Mystery",TRUE
"Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog","en",2021-09-14,103.618,318,8.1,0,0,72,FALSE,"Animation, Comedy, Family, Fantasy, Horror, Mystery",TRUE
"Abraham Lincoln: Vampire Hunter","en",2012-06-20,103,2855,5.7,6.9e+07,116471580,94,FALSE,"Action, Fantasy, Horror",TRUE
"Seed of Chucky","en",2004-11-11,102.731,1252,5.4,1.2e+07,24829644,87,FALSE,"Comedy, Horror",TRUE
"The Exorcist","en",1973-12-26,101.991,6535,7.7,1.1e+07,441306145,122,FALSE,"Horror",TRUE
"Host","en",2020-12-04,101.167,599,6.5,0,26745,57,FALSE,"Horror, Mystery, Thriller",TRUE
"Nobody Sleeps in the Woods Tonight 2","pl",2021-10-27,99.361,244,4.7,0,0,97,FALSE,"Comedy, Horror, Thriller",FALSE
"Halloween","en",2007-08-31,97.161,1873,6.2,1.5e+07,80460948,109,FALSE,"Horror",TRUE
"Come Play With Me","es",2021-02-25,96.667,155,7,0,1753826,80,FALSE,"Horror",TRUE
"La Llorona","es",2019-07-25,96.391,271,6.4,0,0,97,FALSE,"Drama, Horror, Thriller",TRUE
"Titane","fr",2021-07-14,96.198,903,6.5,6600000,5115725,108,FALSE,"Drama, Horror, Thriller",TRUE
"Dragon Fury","en",2021-06-15,96.114,38,6,0,0,88,FALSE,"Fantasy, Horror, Mystery",TRUE
"Carriers","en",2009-09-04,95.417,1174,6.1,0,5802422,84,FALSE,"Action, Drama, Horror, Science Fiction, Thriller",TRUE
"Train to Busan","ko",2016-07-20,94.624,5939,7.8,8500000,87547518,118,FALSE,"Action, Horror, Science Fiction, Thriller",TRUE
"Saw","en",2004-10-01,93.053,7650,7.4,1200000,103911669,103,FALSE,"Crime, Horror, Mystery",TRUE
"The Whole Truth","th",2021-12-02,92.637,148,6.3,0,0,125,FALSE,"Drama, Horror, Mystery, Thriller",TRUE
"The Purge: Election Year","en",2016-06-29,91.119,4614,6.4,1e+07,118587880,105,FALSE,"Action, Horror, Thriller",TRUE
"The Secret Life: Jeffrey Dahmer","en",1993-01-01,90.394,16,5.2,0,0,99,FALSE,"Drama, Horror, Thriller",FALSE
"Nightbooks","en",2021-09-15,90.055,274,6.4,0,0,103,FALSE,"Family, Fantasy, Horror",TRUE
"Wrong Turn","en",2003-05-30,90.04,2127,6.3,12600000,28650575,84,FALSE,"Horror, Thriller",TRUE
"Swim","en",2021-08-13,89.783,37,6.5,0,0,87,FALSE,"Action, Horror",TRUE
"Child's Play 3","en",1991-08-30,89.455,1234,5.9,1.3e+07,20560255,90,FALSE,"Horror, Thriller",TRUE
"Hellraiser","en",2022-09-28,89.225,22,5.8,1.4e+07,0,121,FALSE,"Horror, Mystery",TRUE
"The Hunt","en",2020-03-11,88.978,2477,6.7,1.4e+07,42415898,90,FALSE,"Action, Horror, Thriller",TRUE
"Annabelle Comes Home","en",2019-06-26,88.826,2870,6.4,3e+07,231252591,106,FALSE,"Horror, Mystery, Thriller",TRUE
"The Sadness","zh",2021-01-22,87.317,366,6.7,0,0,99,FALSE,"Horror, Thriller",TRUE
"The Exorcism of Carmen Farias","es",2021-05-05,86.707,93,6.1,0,1474579,93,FALSE,"Horror",TRUE
"The Texas Chainsaw Massacre","en",2003-05-21,86.118,2163,6.2,9500000,107363905,98,FALSE,"Horror",TRUE
"Hereditary","en",2018-06-07,84.709,6057,7.3,1e+07,80239658,128,FALSE,"Horror, Mystery, Thriller",TRUE
"Curse of Chucky","en",2013-10-04,82.858,1280,5.9,5e+06,3800000,97,FALSE,"Horror, Thriller",TRUE
"Child's Play","en",2019-06-19,82.168,1608,6,1e+07,44902237,90,FALSE,"Horror",TRUE
"Last Night in Soho","en",2021-10-21,81.785,2031,7.5,4.3e+07,22957625,117,FALSE,"Fantasy, Horror, Mystery, Thriller",TRUE
"The Purge","en",2013-05-31,81.585,7386,6.3,3e+06,89328627,86,FALSE,"Horror, Science Fiction, Thriller",TRUE
"Annabelle: Creation","en",2017-08-03,81.021,4859,6.6,1.5e+07,306515884,110,FALSE,"Horror, Mystery, Thriller",TRUE
"Son","en",2021-03-18,80.972,206,6,0,0,98,FALSE,"Horror, Thriller",TRUE
"Tentacles","en",2021-02-12,78.121,90,6.2,0,0,84,FALSE,"Horror, Romance",TRUE
"Satanic Pandemonium","es",1975-06-26,77.918,55,6.6,0,0,89,FALSE,"Horror, Mystery, Thriller",TRUE
"The Orphanage","es",2007-05-20,76.355,2442,7.2,3400000,78638987,105,FALSE,"Drama, Horror, Thriller",TRUE
"Aquaslash","en",2019-07-29,75.81,124,4.2,0,0,72,FALSE,"Comedy, Horror",FALSE
"Hansel & Gretel: Witch Hunters","en",2013-01-17,75.4,6015,6,5e+07,226349749,88,FALSE,"Action, Fantasy, Horror",TRUE
"The Ring","en",2002-10-18,73.898,5208,6.6,4.8e+07,249348933,115,FALSE,"Horror, Mystery",TRUE
"Final Destination 5","en",2011-08-12,73.733,2809,6.1,4.7e+07,157887643,92,FALSE,"Horror, Mystery",TRUE
"Insidious","en",2010-09-13,73.643,5689,6.9,1500000,97009150,103,FALSE,"Horror, Thriller",TRUE
"Paranormal Activity: The Marked Ones","en",2014-01-01,73.028,1235,5.4,5e+06,86362372,84,FALSE,"Horror, Thriller",TRUE
"Goosebumps","en",2015-08-05,72.726,3302,6.3,5.8e+07,158162788,103,FALSE,"Adventure, Comedy, Horror",TRUE
"Freddy vs. Jason","en",2003-08-15,72.488,2084,6,3e+07,116643421,97,FALSE,"Horror",TRUE
"Paranormal Activity","en",2007-09-14,71.944,4309,6,215000,194183034,85,FALSE,"Horror, Mystery",TRUE
"No One Gets Out Alive","en",2021-09-29,71.919,459,6,0,0,85,FALSE,"Horror, Mystery, Thriller",TRUE
"The Craft: Legacy","en",2020-10-28,71.202,615,6.3,0,0,94,FALSE,"Drama, Fantasy, Horror",TRUE
"The Medium","th",2021-07-14,69.784,429,7,0,7230000,131,FALSE,"Horror, Thriller",TRUE
"The Witch","en",2015-01-27,69.655,5790,6.9,3500000,40423945,92,FALSE,"Drama, Fantasy, Horror, Mystery",TRUE
"[REC]","es",2007-11-23,68.845,3576,7.2,1500000,32511655,78,FALSE,"Horror, Mystery",TRUE
"Nobody Sleeps in the Woods Tonight","pl",2020-03-13,68.493,535,5.3,0,0,102,FALSE,"Horror, Thriller",FALSE
"Get Out","en",2017-02-24,68.431,14721,7.6,4500000,255407969,104,FALSE,"Horror, Mystery, Thriller",TRUE
"The Ruins","en",2008-04-02,68.279,908,5.9,8e+06,22818256,91,FALSE,"Horror",TRUE
"Insidious: Chapter 2","en",2013-09-12,68.172,3528,6.7,5e+06,1.61e+08,106,FALSE,"Horror, Thriller",TRUE
"Scream","en",1996-12-20,67.783,5318,7.4,1.4e+07,173046663,112,FALSE,"Crime, Horror, Mystery",TRUE
"The Scientist","en",2020-09-21,67.702,99,6.2,0,0,94,FALSE,"Drama, Horror",TRUE
"The Human Centipede (First Sequence)","en",2009-04-26,67.63,1772,5.2,2011799,252207,92,FALSE,"Horror",FALSE
"Underworld: Awakening","en",2012-01-19,67.467,3573,6.3,7e+07,160112671,88,FALSE,"Action, Fantasy, Horror",TRUE
"Final Destination 3","en",2006-02-09,67.459,3174,6.1,2.5e+07,118890272,93,FALSE,"Horror, Mystery",TRUE
"Spiral: From the Book of Saw","en",2021-05-12,67.251,1362,6.1,2e+07,40618920,93,FALSE,"Crime, Horror, Mystery",TRUE
"Fear Street: 1666","en",2021-07-14,66.278,1251,7.3,0,0,114,FALSE,"Horror, Mystery",TRUE
"Scouts Guide to the Zombie Apocalypse","en",2015-10-23,66.029,1580,6.5,1.5e+07,14860766,93,FALSE,"Comedy, Horror",TRUE
"Attack on Titan","ja",2015-08-01,65.388,586,5.9,0,0,98,FALSE,"Action, Fantasy, Horror, Science Fiction",TRUE
"Sinister","en",2012-03-29,65.319,4563,6.8,3e+06,82515113,110,FALSE,"Horror, Mystery, Thriller",TRUE
"Zombieland","en",2009-10-07,65.001,10704,7.3,23600000,102391540,88,FALSE,"Comedy, Horror",TRUE
"Goosebumps 2: Haunted Halloween","en",2018-10-11,64.989,1234,6.1,3.5e+07,93320380,90,FALSE,"Adventure, Comedy, Family, Fantasy, Horror",TRUE
"Butchers","en",2020-10-15,64.786,152,5,0,0,93,FALSE,"Horror",FALSE
"Final Destination 2","en",2003-01-31,64.18,3321,6.2,2.6e+07,90941129,90,FALSE,"Horror, Mystery",TRUE
"Benny Loves You","en",2019-11-21,63.524,139,6.2,10000,0,94,FALSE,"Comedy, Horror",TRUE
"Truth or Dare","en",2018-04-12,63.521,3562,6,3500000,95330493,101,FALSE,"Horror, Thriller",TRUE
"A Quiet Place","en",2018-04-03,63.493,12032,7.4,1.7e+07,340677200,91,FALSE,"Drama, Horror, Science Fiction",TRUE
"Hellraiser","en",1987-09-11,63.431,1933,6.9,1e+06,14575193,93,FALSE,"Fantasy, Horror",TRUE
"House of Wax","en",2005-04-30,63.255,2505,5.9,4e+07,68766121,113,FALSE,"Horror, Thriller",TRUE
"The Autopsy of Jane Doe","en",2016-12-21,63.234,3423,6.7,0,5972942,86,FALSE,"Horror, Mystery",TRUE
"The Hills Have Eyes","en",2006-03-10,62.574,2447,6.4,1.5e+07,69623713,107,FALSE,"Horror, Thriller",TRUE
"Candyman","en",2021-08-25,62.465,1108,6.1,2.5e+07,77389310,91,FALSE,"Horror, Mystery, Thriller",TRUE
"Dreamcatcher","en",2021-03-05,62.464,93,6,0,0,90,FALSE,"Horror, Mystery, Thriller",TRUE
"Freddy's Dead: The Final Nightmare","en",1991-09-05,61.784,1029,5.3,1.1e+07,34900000,89,FALSE,"Horror, Thriller",FALSE
"Friday the 13th","en",2009-02-11,61.753,2106,5.8,1.9e+07,91509154,97,FALSE,"Horror",TRUE
"The Purge: Anarchy","en",2014-07-17,61.71,5695,6.7,9e+06,111928365,104,FALSE,"Horror, Thriller",TRUE
"Alien","en",1979-05-25,60.982,12083,8.1,1.1e+07,104931801,117,FALSE,"Horror, Science Fiction",TRUE
"Caged","en",2021-01-26,60.884,86,6.7,0,0,81,FALSE,"Horror, Thriller",TRUE
"Terrifier","en",2016-10-15,60.726,612,6.5,1e+05,0,84,FALSE,"Horror, Thriller",TRUE
"Escape Room: Tournament of Champions","en",2021-07-01,60.72,1341,6.7,1.5e+07,44888959,88,FALSE,"Horror, Mystery, Thriller",TRUE
"Jennifer's Body","en",2009-09-18,60.685,3104,5.8,1.6e+07,31556061,107,FALSE,"Comedy, Horror",TRUE
"Wrong Turn 6: Last Resort","en",2014-08-22,60.624,664,5.3,1200000,0,91,FALSE,"Horror",FALSE
"Saw II","en",2005-10-28,60.408,4357,6.6,4e+06,147748505,89,FALSE,"Horror",TRUE
"Baba Yaga: Terror of the Dark Forest","ru",2020-02-27,59.92,187,5.9,0,0,96,FALSE,"Horror",TRUE
"I See You","en",2019-09-11,59.919,1041,7,3e+06,0,98,FALSE,"Crime, Horror, Mystery, Thriller",TRUE
"Halloween II","en",2009-08-28,59.789,1120,5.4,1e+07,39421467,105,FALSE,"Horror",TRUE
"Attack on Titan II: End of the World","ja",2015-09-01,59.771,232,5.9,0,0,87,FALSE,"Action, Fantasy, Horror, Science Fiction",TRUE
"Dinosaur Hotel","en",2021-06-11,59.573,63,5.2,0,0,77,FALSE,"Horror, Mystery, Science Fiction",FALSE
"Anacondas: The Hunt for the Blood Orchid","en",2004-08-26,59.552,765,5.4,0,0,96,FALSE,"Action, Adventure, Horror",TRUE
"Saw III","en",2006-10-27,59.343,3653,6.4,1e+07,164874275,114,FALSE,"Crime, Horror, Thriller",TRUE
"Friday the 13th","en",1980-05-09,58.957,2289,6.4,550000,59754601,95,FALSE,"Horror",TRUE
"Midsommar","en",2019-07-03,58.67,5237,7.1,9e+06,47980982,147,FALSE,"Drama, Horror, Mystery",TRUE
"Halloween 5: The Revenge of Michael Myers","en",1989-10-12,58.22,927,5.4,3e+06,11642254,97,FALSE,"Horror, Thriller",TRUE
"Blade","en",1998-08-21,57.899,4965,6.7,4.5e+07,131183530,121,FALSE,"Action, Horror",TRUE
"The Texas Chain Saw Massacre","en",1974-10-01,57.809,2525,7.3,85000,30900000,83,FALSE,"Horror",TRUE
"Phobias","en",2021-02-28,57.696,35,5.2,0,0,85,FALSE,"Horror, Thriller",FALSE
"The Cabin in the Woods","en",2012-04-12,57.429,6741,6.6,3e+07,71041255,95,FALSE,"Fantasy, Horror",TRUE
"Evil Eye","en",2020-04-01,57.106,135,5.5,0,0,90,FALSE,"Horror, Mystery, Thriller",TRUE
"The Funeral Home","es",2021-04-15,56.856,24,4.5,0,0,86,FALSE,"Horror",FALSE
"Sator","en",2019-07-21,56.6,84,5.2,0,130023,85,FALSE,"Horror",FALSE
"Veronica","es",2017-08-25,56.39,1474,6.2,0,0,105,FALSE,"Horror",TRUE
"Insidious: The Last Key","en",2018-01-03,56.103,2313,6.2,1e+07,167184112,103,FALSE,"Horror, Mystery, Thriller",TRUE
"Unhuman","en",2022-06-03,56,59,5.7,0,0,87,FALSE,"Comedy, Horror",TRUE
"Texas Chainsaw 3D","en",2013-01-03,55.817,1346,5.5,1e+07,0,92,FALSE,"Horror, Thriller",TRUE
"Safer at Home","en",2021-02-26,55.177,116,5.5,0,0,82,FALSE,"Horror, Thriller",TRUE
"Ghost Mansion","ko",2021-06-30,55.108,94,7.3,0,0,106,FALSE,"Horror",TRUE
"Saw IV","en",2007-10-25,54.942,3038,6.2,1e+07,139352633,96,FALSE,"Crime, Horror, Thriller",TRUE
"Porno","en",2019-06-28,54.413,249,6.4,0,0,98,FALSE,"Comedy, Horror",TRUE
"Goodnight Mommy","de",2014-10-07,54.063,1294,6.7,0,2193474,100,FALSE,"Drama, Horror, Mystery, Thriller",TRUE
"House of the Witch","en",2017-10-07,53.773,120,4.7,0,0,90,FALSE,"Horror, TV Movie",FALSE
"I Spit on Your Grave III: Vengeance is Mine","en",2015-10-01,53.578,781,5.7,0,0,91,FALSE,"Horror, Thriller",TRUE
"Annihilation","en",2018-02-22,53.42,7378,6.4,4e+07,43070915,115,FALSE,"Horror, Science Fiction",TRUE
"The New Mutants","en",2020-08-26,53.323,2819,6.2,6.7e+07,49169594,94,FALSE,"Action, Horror, Mystery, Science Fiction",TRUE
"The Hills Have Eyes 2","en",2007-03-22,53.301,1175,5.5,1.5e+07,37697773,89,FALSE,"Horror, Thriller",TRUE
"28 Weeks Later","en",2007-04-26,53.104,3514,6.6,1.5e+07,65048678,100,FALSE,"Horror, Science Fiction, Thriller",TRUE
"Don't Breathe","en",2016-06-08,53.069,6387,7,9900000,159047649,89,FALSE,"Horror, Thriller",TRUE
"Blood Red Sky","de",2021-07-23,52.695,1230,7,17739525,0,121,FALSE,"Action, Horror, Thriller",TRUE
"The Exorcism of Emily Rose","en",2005-09-09,52.675,2333,6.5,1.9e+07,145166804,122,FALSE,"Crime, Drama, Horror, Thriller",TRUE
"There's Someone Inside Your House","en",2021-09-24,52.537,476,5.6,0,0,96,FALSE,"Horror, Mystery, Thriller",TRUE
"Willy's Wonderland","en",2021-02-12,52.535,603,6.1,5e+06,431020,88,FALSE,"Action, Comedy, Horror",TRUE
"Werewolves Within","en",2021-06-25,52.511,345,6.1,6500000,250811,97,FALSE,"Comedy, Horror",TRUE
"Halloween: The Curse of Michael Myers","en",1995-09-29,52.474,840,5.2,5e+06,15116634,88,FALSE,"Horror, Thriller",FALSE
"Thir13en Ghosts","en",2001-10-26,52.197,1695,6.2,4.2e+07,68467960,91,FALSE,"Horror, Thriller",TRUE
"[REC]⁴ Apocalypse","es",2014-10-31,51.876,935,5.5,3e+06,4915757,95,FALSE,"Horror, Thriller",TRUE
"Deep Blue Sea 3","en",2020-08-25,51.476,227,5.8,5e+06,0,100,FALSE,"Action, Horror, Science Fiction",TRUE
"Jaws","en",1975-06-20,51.381,8659,7.6,7e+06,470653000,124,FALSE,"Adventure, Horror, Thriller",TRUE
"The Jack in the Box","en",2019-11-09,51.256,243,5.9,0,0,87,FALSE,"Horror",TRUE
"Scream 2","en",1997-12-12,51.026,3103,6.4,2.4e+07,172363301,120,FALSE,"Horror, Mystery",TRUE
"AVP: Alien vs. Predator","en",2004-08-12,50.996,3654,5.9,7e+07,177427090,101,FALSE,"Action, Adventure, Horror, Science Fiction",TRUE
"The Babysitter: Killer Queen","en",2020-09-10,50.778,1191,6.4,0,0,101,FALSE,"Comedy, Horror",TRUE
"Sleepy Hollow","en",1999-11-19,50.681,5700,7.2,1e+08,206071502,105,FALSE,"Drama, Fantasy, Horror, Mystery, Thriller",TRUE
"Van Helsing","en",2004-05-05,50.495,4987,6.3,1.6e+08,300257475,132,FALSE,"Action, Adventure, Horror",TRUE
"Stan Helsing","en",2009-10-27,50.368,386,4.2,365000,1400000,90,FALSE,"Comedy, Horror",FALSE
"Paranormal Activity: Tokyo Night","ja",2010-11-20,50.297,360,6,1350000,4160000,91,FALSE,"Horror, Thriller",TRUE
"It Follows","en",2014-09-24,50.294,5456,6.6,2e+06,14674076,101,FALSE,"Horror, Mystery",TRUE
"Smiley","en",2012-10-12,50.224,330,4.4,0,0,95,FALSE,"Horror",FALSE
"Containment","en",2015-07-09,50.172,156,5.9,0,0,77,FALSE,"Horror, Science Fiction, Thriller",TRUE
"Halloween II","en",1981-10-30,50.085,1591,6.5,2500000,25533818,92,FALSE,"Horror, Thriller",TRUE
"Evil Dead","en",2013-04-05,49.982,3758,6.5,1.7e+07,97542952,96,FALSE,"Horror",TRUE
"Insensate","pt",2021-08-04,49.877,74,6.7,0,0,84,FALSE,"Horror, Mystery, Thriller",TRUE
"Hostel: Part II","en",2007-06-08,49.793,1645,5.8,10200000,35728183,93,FALSE,"Horror",TRUE
"Crawl","en",2019-07-11,49.607,2608,6.3,13500000,89203432,88,FALSE,"Action, Horror, Thriller",TRUE
"The Banishing","en",2021-04-29,49.121,89,5.4,0,0,97,FALSE,"Horror",TRUE
"Friday the 13th: The Final Chapter","en",1984-04-13,48.887,1013,6.1,2600000,32980880,91,FALSE,"Horror",TRUE
