"title","original_language","release_date","popularity","vote_count","vote_average","budget","revenue","runtime","adult","genre_names","high_rating"
"Orphan: First Kill","en",2022-07-27,5088.584,902,6.9,0,9572765,99,FALSE,"Horror, Thriller",TRUE
"Beast","en",2022-08-11,2172.338,584,7.1,0,5.6e+07,93,FALSE,"Adventure, Drama, Horror",TRUE
"Smile","en",2022-09-23,1863.628,114,6.8,1.7e+07,4.5e+07,115,FALSE,"Horror, Mystery, Thriller",TRUE
"The Black Phone","en",2022-06-22,1071.398,2736,7.9,18800000,1.61e+08,103,FALSE,"Horror, Thriller",TRUE
"Presences","es",2022-09-07,1020.995,83,7,0,0,0,FALSE,"Horror",TRUE
"Jeepers Creepers: Reborn","en",2022-09-15,821.605,125,5.8,2e+07,2892594,88,FALSE,"Horror, Mystery, Thriller",TRUE
"Nope","en",2022-07-20,733.112,1684,7,6.8e+07,170800000,130,FALSE,"Horror, Mystery, Science Fiction, Thriller",TRUE
"X","en",2022-03-17,543.67,1035,6.8,1e+07,14257609,106,FALSE,"Horror, Mystery, Thriller",TRUE
"The Exorcism of God","en",2022-03-11,537.252,637,7.3,1500000,0,98,FALSE,"Horror",TRUE
"Torn Hearts","en",2022-05-20,525.876,39,6.1,0,0,97,FALSE,"Horror, Music, Thriller",TRUE
"My Best Friend's Exorcism","en",2022-09-29,501.921,43,6.1,0,0,96,FALSE,"Comedy, Horror",TRUE
"Day Shift","en",2022-08-10,449.683,1129,6.9,0,0,113,FALSE,"Action, Comedy, Fantasy, Horror",TRUE
"Beneath the Surface","en",2022-04-01,412.34,50,6.9,0,0,93,FALSE,"Fantasy, Horror, Mystery, Thriller",TRUE
"The Grandmother","es",2022-01-28,381.305,272,5.9,0,0,100,FALSE,"Drama, Horror",TRUE
"Dahmer","en",2002-06-21,378.39,220,5.2,250000,144008,101,FALSE,"Drama, Horror",FALSE
"Titanic 666","en",2022-04-15,372.136,98,6,0,0,91,FALSE,"Horror, Thriller",TRUE
"Halloween Kills","en",2021-10-14,315.027,1941,6.7,2e+07,131647155,105,FALSE,"Horror, Thriller",TRUE
"Incantation","zh",2022-03-18,313.282,339,6.9,0,5700000,111,FALSE,"Horror",TRUE
"Texas Chainsaw Massacre","en",2022-02-18,293.443,958,5.3,2e+07,0,83,FALSE,"Horror, Thriller",FALSE
"Scream","en",2022-01-12,291.196,1732,6.7,2.4e+07,1.4e+08,114,FALSE,"Horror, Mystery, Thriller",TRUE
"Smile","it",2009-08-28,266.502,16,3.9,0,0,119,FALSE,"Horror, Thriller",FALSE
"Orphan","en",2009-07-24,265.858,4403,7,2e+07,77912251,123,FALSE,"Horror, Mystery, Thriller",TRUE
"See for Me","en",2022-01-07,254.809,110,6.1,0,0,92,FALSE,"Crime, Drama, Horror, Mystery, Thriller",TRUE
"Bring It On: Cheer or Die","en",2022-09-27,253.614,34,6.2,0,0,0,FALSE,"Comedy, Horror, Thriller, TV Movie",TRUE
"No Exit","en",2022-02-25,252.675,750,7,0,0,96,FALSE,"Horror, Mystery, Thriller",TRUE
"They/Them","en",2022-07-24,249.32,105,5.3,0,0,101,FALSE,"Horror, Thriller",FALSE
"The Requin","en",2022-01-28,248.496,191,4.7,0,0,89,FALSE,"Horror, Thriller",FALSE
"Jeepers Creepers 3","en",2017-09-26,246.189,692,4.9,6200000,3600000,100,FALSE,"Horror, Mystery, Thriller",FALSE
"Resident Evil: Welcome to Raccoon City","en",2021-11-24,245.332,1831,6.1,4e+07,38600612,107,FALSE,"Action, Horror, Science Fiction",TRUE
"The Addams Family 2","en",2021-10-01,241.156,953,7.1,0,119815153,93,FALSE,"Adventure, Animation, Comedy, Family, Fantasy, Horror",TRUE
"It Chapter Two","en",2019-09-04,230.451,7221,6.9,7.9e+07,473122525,170,FALSE,"Fantasy, Horror",TRUE
"She Will","en",2022-07-15,229.223,24,5.6,0,40958,95,FALSE,"Drama, Horror, Thriller",TRUE
